13469 14:51:03 X:-0.164 Y:+0.122 T:+11.5.
13507 14:51:03 X:-0.054 Y:+0.112 T:+11.5.
13545 14:51:04 X:-0.047 Y:+0.107 T:+11.5.
13583 14:51:04 X:-0.145 Y:+0.117 T:+11.5.
13621 14:51:04 X:-0.049 Y:+0.115 T:+11.5.
13659 14:51:05 X:-0.121 Y:+0.116 T:+11.5.
13697 14:51:05 X:-0.016 Y:+0.110 T:+11.5.
13735 14:51:06 X:-0.295 Y:+0.130 T:+11.5.
13773 14:51:06 X:+0.009 Y:+0.114 T:+11.5.
13811 14:51:07 X:-0.182 Y:+0.120 T:+11.5.
13849 14:51:07 X:-0.123 Y:+0.122 T:+11.5.
13887 14:51:07 X:+0.000 Y:+0.115 T:+11.5.
13925 14:51:08 X:-0.268 Y:+0.127 T:+11.5.
13963 14:51:08 X:-0.013 Y:+0.121 T:+11.5.
14001 14:51:09 X:-0.210 Y:+0.128 T:+11.5.
14039 14:51:09 X:-0.102 Y:+0.118 T:+11.5.
14077 14:51:09 X:-0.158 Y:+0.129 T:+11.5.
14115 14:51:10 X:-0.166 Y:+0.130 T:+11.5.
14153 14:51:10 X:-0.056 Y:+0.118 T:+11.5.
14191 14:51:11 X:-0.192 Y:+0.129 T:+11.5.
14229 14:51:11 X:-0.031 Y:+0.126 T:+11.5.
14267 14:51:11 X:-0.141 Y:+0.128 T:+11.5.
14305 14:51:12 X:-0.184 Y:+0.135 T:+11.5.
14343 14:51:12 X:-0.072 Y:+0.132 T:+11.5.
14381 14:51:13 X:-0.245 Y:+0.134 T:+11.5.
14419 14:51:13 X:-0.029 Y:+0.124 T:+11.5.
14457 14:51:13 X:-0.230 Y:+0.141 T:+11.5.
14494 14:51:14 X:-0.089 Y:+0.128 T:+11.5.
14532 14:51:14 X:-0.146 Y:+0.127 T:+11.5.
14570 14:51:15 X:-0.153 Y:+0.134 T:+11.5.
14608 14:51:15 X:-0.028 Y:+0.124 T:+11.5.
14646 14:51:15 X:-0.194 Y:+0.130 T:+11.5.
14683 14:51:16 X:-0.100 Y:+0.132 T:+11.5.
14721 14:51:16 X:-0.102 Y:+0.130 T:+11.5.
14759 14:51:17 X:-0.184 Y:+0.128 T:+11.5.
